lon,lat,year
97.3916320801,25.3710308075,2013
97.3916320801,25.3710308075,2014
98.1215677,16.0408229,2013
98.1215677,16.0408229,2013
98.1215677,16.0408229,2013
98.1215677,16.0408229,2014
94.9238888889,24.8888888889,2013
98.711517334,16.2970600128,2013
106.90801239,11.7552776337,2011
106.90801239,11.7552776337,2011
106.90801239,11.7552776337,2012
98.5680007935,16.7148990631,2011
98.5680007935,16.7148990631,2011
98.5680007935,16.7148990631,2012
98.5680007935,16.7148990631,2012
98.5680007935,16.7148990631,2012
98.5680007935,16.7148990631,2012
98.5680007935,16.7148990631,2012
102.607780457,12.8581104279,2011
102.607780457,12.8581104279,2012
104.845462,14.00858,2011
104.845462,14.00858,2012
103.918998718,12.5382995605,2011
103.918998718,12.5382995605,2011
96.5218200684,20.3301429749,2012
104.320770264,15.1148796082,2012
104.320770264,15.1148796082,2012
104.371002197,14.6302995682,2012
104.371002197,14.6302995682,2012
108.227607727,15.342417717,2013
106.96667,11.816667,2011
106.96667,11.816667,2011
102.852996826,12.5972995758,2009
102.607780457,12.8581104279,2010
102.607780457,12.8581104279,2010
102.607780457,12.8581104279,2010
98.5503005981,9.98237991333,2011
98.5503005981,9.98237991333,2011
102.607780457,12.8581104279,2002
102.607780457,12.8581104279,2002
102.607780457,12.8581104279,2004
102.607780457,12.8581104279,2004
102.607780457,12.8581104279,2004
102.607780457,12.8581104279,2006
102.607780457,12.8581104279,2006
102.607780457,12.8581104279,2008
102.607780457,12.8581104279,2008
102.607780457,12.8581104279,2010
102.607780457,12.8581104279,2010
102.607780457,12.8581104279,2012
102.607780457,12.8581104279,2012
103.202003479,13.1028003693,2002
103.202003479,13.1028003693,2002
103.202003479,13.1028003693,2012
103.918998718,12.5382995605,2010
103.918998718,12.5382995605,2010
104.081242,14.23508,2013
104.081242,14.23508,2013
97.556448,24.75595,2008
97.556448,24.75595,2008
97.556448,24.75595,2009
98.6338424683,9.95201015472,2007
99.5301589966,14.0264596939,2007
98.6338424683,9.95201015472,2007
97.556448,24.75595,2009
98.3852996826,16.0049991608,2013
107.100997925,13.8577003479,2014
103.916999817,12.5333003998,2012
103.916999817,12.5333003998,2013
104.845001221,14.008600235,2012
104.845001221,14.008600235,2013
107.100997925,13.8577003479,2012
107.100997925,13.8577003479,2013
104.75,11.57970047,2014
102.536003113,17.9605998993,2013
102.536003113,17.9605998993,2013
105.802001953,21.0228004456,2014
105.802001953,21.0228004456,2014
98.5568008423,16.7077007294,2010
98.5568008423,16.7077007294,2010
98.5568008423,16.7077007294,2011
98.5568008423,16.7077007294,2011
98.5568008423,16.7077007294,2011
98.5568008423,16.7077007294,2011
98.5568008423,16.7077007294,2012
98.5568008423,16.7077007294,2012
98.5568008423,16.7077007294,2012
98.5568008423,16.7077007294,2012
98.5568008423,16.7077007294,2013
98.5568008423,16.7077007294,2013
98.5568008423,16.7077007294,2013
98.6084976196,9.95287036896,2007
98.6084976196,9.95287036896,2007
99.5327987671,14.0228004456,2007
105.411003113,14.7566995621,2014
105.411003113,14.7566995621,2014
105.411003113,14.7566995621,2014
106.722999573,11.75,2009
106.722999573,11.75,2010
106.722999573,11.75,2011
106.722999573,11.75,2011
106.722999573,11.75,2011
106.722999573,11.75,2010
106.722999573,11.75,2011
106.722999573,11.75,2014
106.722999573,11.75,2012
106.722999573,11.75,2012
106.722999573,11.75,2013
106.722999573,11.75,2015
107.830001831,13.9622001648,2014
107.830001831,13.9622001648,2015
107.830001831,13.9622001648,2014
97.9058990479,26.9962997437,2012
97.9058990479,26.9962997437,2012
94.3098983765,24.2191009521,2014
95.9757003784,22.888299942,2014
95.9757003784,22.888299942,2014
94.3098983765,24.2191009521,2012
96.8806991577,17.9293003082,2015
96.8806991577,17.9293003082,2015
