Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,6.80293003775,6.97349405696,6.98988163679,7.0889829234,7.39247200965,7.40551138776,7.6267734406,7.59217200249,7.79601413294,7.80059216773,7.93994910036,8.05494038795,8.57779174894,9.01248935473,8.66658495836,8.55104232466,8.45995179117,8.26637798647,8.07789997471,7.8178816831,7.27124898112,6.82662928825,6.61142463357,7.1446281048,7.1378352485,7.19228299167,7.13942913681
AGO,18.6912065376,19.1432106196,19.3231365141,20.1441105152,21.0587903658,22.0475143327,22.8103115262,24.178356514,27.5072359772,29.9265383039,32.0451917462,36.3891316571,42.2405918605,45.7826932017,52.3448294839,54.0792880263,52.1458879381,48.6704136301,42.3261045389,35.9122452045,31.9177779158,28.6342035589,27.5465727394,28.6868218903,28.3474968449,28.3801208333,27.1486318101
ARE,0.0261882571472,0.0265223341146,0.0269141619478,0.0273782908005,0.0277903931531,0.0281862656616,0.028247166114,0.0282227786843,0.0281864735512,0.0282078398271,0.0280639497306,0.0279430247361,0.0279265294094,0.027255698538,0.0267686916547,0.0263716228801,0.0259101196718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,0.0308057285242,0.0287795865496,0.027253365802,0.0253496035827,0.0236253322565,0.0221811176668,0.0209874533226,0.019630950271,0.0185287735877,0.0174793705329,0.0161024885039,0.0151545911906,0.014294263762,0.0132352133332,0.0120009242245,0.0111537083202,0.0105295015161,0.0100931521349,0.00937423170137,0.00877565972644,0.00808258856245,0.00755496349581,0.00712669750551,0.00667400296752,0.00613840038746,0.00568589798168,0.00528657778399
ARM,0.0359885396872,0.0353824046957,0.0370527692909,0.0367950428532,0.034153621999,0.0302954422903,0.0277779163571,0.0249017114196,0.0225681626277,0.0209635426831,0.018781139019,0.0177127400117,0.016400461907,0.0154854605918,0.0149292242875,0.0148748930134,0.0146795812853,0.0133996251283,0.0129146292878,0.0120221622079,0.010942724671,0.0,0.0,0.0,0.0,0.0,0.0
ASM,0.32552500994,0.327409835856,0.322589364503,0.31100794909,0.304774685702,0.30082252921,0.297561423149,0.293052408333,0.282703175636,0.271411888082,0.254118808419,0.24394916665,0.239457778709,0.242116442095,0.243196689612,0.239086813662,0.228356404722,0.219236246909,0.212172992059,0.212929198012,0.212127175939,0.211896078501,0.209409078672,0.208585400092,0.208028601637,0.207376660023,0.206802253679
AZE,0.0412844297012,0.0406452782926,0.0426208993842,0.0407903300569,0.0398745855387,0.0351615422996,0.0319687744411,0.0290156168392,0.0268017695977,0.0249197868225,0.0230476012404,0.0209576187978,0.0194230408871,0.0188069675197,0.0178051208831,0.0167859938567,0.0154121219475,0.0140571079638,0.0131764792633,0.0120167528569,0.0110879585827,0.00983418190604,0.00899536190699,0.00807785908447,0.00748081082231,0.00697560049415,0.00651446746537
BDI,176.368188079,178.075055812,177.041256845,179.10327715,177.983141536,179.242063885,181.484671647,180.15284697,182.923524539,183.018389088,182.965699169,180.990941702,176.888551242,164.74474163,144.201453039,110.764123498,97.3023196028,89.8635902159,85.1894718963,84.5460479336,82.8238283588,73.4890321034,63.0355988685,59.7115052031,53.4287781476,50.8257712447,48.8400130162
BEN,60.7697013481,61.4428826441,61.7080264484,62.3248471195,63.5652063285,64.9857161803,65.7944471695,65.743873699,67.1470067386,68.5038543381,70.2447499504,78.030238698,83.7476896214,92.1300448773,104.129946089,107.067925393,107.771604068,105.731307516,98.3498531666,89.1801370021,83.3210947806,77.5473904371,76.3912555691,73.2898233723,69.0157079705,69.5025985285,67.2705196356
BFA,148.89024947,154.470849327,158.05190668,162.04302237,164.068757992,165.00296879,166.751560952,167.079575145,169.990855672,172.811759978,180.98787267,185.483538138,188.840677876,192.293325361,190.767738959,188.93741275,187.895828937,187.752412875,187.068723361,183.857519127,179.864739452,170.58107884,161.489987382,149.81818936,141.505393047,139.622109988,135.088376424
